Temperatur_K,Druck_bar,Lambda,Phi,EGR_Rate,Zuendverzug_s
750.0,30.0,2.666666666666667,0.37499999999999994,0.09999999999999999,1.3937920248988192e-17
750.0,30.0,2.666666666666667,0.37499999999999994,0.19999999999999998,1.047292355794856e-17
750.0,30.0,2.666666666666667,0.37499999999999994,0.3,9.158492034726303e-18
750.0,30.0,2.666666666666667,0.37499999999999994,0.39999999999999997,8.582834033407035e-18
750.0,30.0,2.666666666666667,0.37499999999999994,0.49999999999999994,8.42492591967704e-18
750.0,30.0,2.666666666666667,0.37499999999999994,0.6,8.614444934040818e-18
750.0,30.0,3.1333333333333337,0.3191489361702127,0.0,0.007399587020062479
750.0,30.0,3.1333333333333337,0.3191489361702127,0.09999999999999999,1.510121407281859e-17
750.0,30.0,3.1333333333333337,0.3191489361702127,0.19999999999999998,1.1345259766992203e-17
750.0,30.0,3.1333333333333337,0.3191489361702127,0.3,9.919815223521792e-18
750.0,30.0,3.1333333333333337,0.3191489361702127,0.39999999999999997,9.294882382219782e-18
750.0,30.0,3.1333333333333337,0.3191489361702127,0.49999999999999994,9.122488328332058e-18
750.0,30.0,3.1333333333333337,0.3191489361702127,0.6,9.326292450738481e-18
750.0,30.0,3.5999999999999996,0.2777777777777778,0.0,0.011376041448349705
750.0,30.0,3.5999999999999996,0.2777777777777778,0.09999999999999999,1.6181091189380054e-17
750.0,30.0,3.5999999999999996,0.2777777777777778,0.19999999999999998,1.2155151603761662e-17
750.0,30.0,3.5999999999999996,0.2777777777777778,0.3,1.0626734766026874e-17
750.0,30.0,3.5999999999999996,0.2777777777777778,0.39999999999999997,9.956135643591304e-18
750.0,30.0,3.5999999999999996,0.2777777777777778,0.49999999999999994,9.77037408951486e-18
750.0,30.0,3.5999999999999996,0.2777777777777778,0.6,
750.0,30.0,4.066666666666666,0.24590163934426232,0.0,0.016560429759676934
750.0,30.0,4.066666666666666,0.24590163934426232,0.09999999999999999,1.7193276525577415e-17
750.0,30.0,4.066666666666666,0.24590163934426232,0.19999999999999998,1.2914352552115323e-17
750.0,30.0,4.066666666666666,0.24590163934426232,0.3,1.1289475165221538e-17
750.0,30.0,4.066666666666666,0.24590163934426232,0.39999999999999997,1.0576125727688696e-17
750.0,30.0,4.066666666666666,0.24590163934426232,0.49999999999999994,1.0377891230764176e-17
750.0,30.0,4.066666666666666,0.24590163934426232,0.6,
750.0,30.0,4.533333333333333,0.22058823529411764,0.0,0.02292562621255847
750.0,30.0,4.533333333333333,0.22058823529411764,0.09999999999999999,1.814909924186073e-17
750.0,30.0,4.533333333333333,0.22058823529411764,0.19999999999999998,1.3631334973883719e-17
750.0,30.0,4.533333333333333,0.22058823529411764,0.3,1.1915410493341106e-17
750.0,30.0,4.533333333333333,0.22058823529411764,0.39999999999999997,1.1161730773592793e-17
750.0,30.0,4.533333333333333,0.22058823529411764,0.49999999999999994,
750.0,30.0,4.533333333333333,0.22058823529411764,0.6,
750.0,30.0,5.0,0.2,0.0,0.030435714783910942
750.0,30.0,5.0,0.2,0.09999999999999999,1.9057041976572545e-17
750.0,30.0,5.0,0.2,0.19999999999999998,1.4312445091602034e-17
750.0,30.0,5.0,0.2,0.3,1.2510066544327126e-17
